Date,RELIANCE.BO,TCS.BO,HDFCBANK.BO,HINDUNILVR.BO,INFY.BO,KOTAKBANK.BO,ICICIBANK.BO,LT.BO,AXISBANK.BO,SBIN.BO,GOOGL,AAPL,AMZN,MSFT,NVDA,ADBE,NFLX,TSLA,ORCL,CSCO,Sensex
2021-06-18,2210.560302734375,3183.388427734375,1463.07568359375,2442.74072265625,1465.579833984375,1758.09375,621.3796997070312,1456.8936767578125,735.4307250976562,404.93182373046875,118.13400268554688,123.34182739257812,161.5054931640625,243.46054077148438,154.58506774902344,498.2799987792969,503.8599853515625,210.28334045410156,75.6330337524414,48.72786331176758,52306.078125
2021-06-21,2223.028564453125,3159.684326171875,1471.627685546875,2477.549072265625,1461.5372314453125,1770.1265869140625,622.16845703125,1448.35302734375,738.5260620117188,411.55316162109375,117.84249877929688,122.68218994140625,161.15350341796875,243.82183837890625,162.1356658935547,504.5799865722656,502.80999755859375,208.4066619873047,75.4031982421875,48.7094612121582,52699.0
2021-06-22,2211.50390625,3186.91259765625,1467.524658203125,2451.455078125,1472.5936279296875,1757.49462890625,621.7247924804688,1480.1951904296875,738.47607421875,410.7684326171875,119.05899810791016,122.35729217529297,160.9324951171875,241.59535217285156,162.3352813720703,495.9100036621094,499.0799865722656,207.96665954589844,76.19802856445312,48.451637268066406,52925.0390625
2021-06-23,2190.739990234375,3149.69091796875,1468.315673828125,2441.509765625,1463.9725341796875,1734.3277587890625,615.7599487304688,1461.0899658203125,731.2870483398438,410.9155578613281,118.52950286865234,123.12521362304688,161.69949340820312,241.49766540527344,167.46299743652344,495.7699890136719,499.239990234375,201.7066650390625,76.86836242675781,48.76469802856445,52735.58984375
2021-06-24,2139.3271484375,3257.34912109375,1489.176513671875,2451.75048828125,1518.816162109375,1735.5260009765625,624.8797607421875,1485.0826416015625,737.9269409179688,409.1498718261719,117.37899780273438,121.62874603271484,159.35049438476562,239.94497680664062,169.37432861328125,493.1400146484375,489.42999267578125,190.94667053222656,77.65361785888672,49.10538864135742,52549.66015625
2021-06-25,2090.5966796875,3264.204345703125,1496.9869384765625,2411.624755859375,1533.7203369140625,1732.480224609375,639.520751953125,1503.6448974609375,760.1929931640625,420.57781982421875,119.67849731445312,123.94239044189453,160.31100463867188,244.90577697753906,175.44775390625,504.5,494.739990234375,199.68333435058594,79.37732696533203,49.786773681640625,52482.7109375
2021-06-28,2072.415771484375,3220.658447265625,1491.0054931640625,2422.30859375,1530.8953857421875,1730.0338134765625,640.9503784179688,1494.8079833984375,761.241455078125,418.517822265625,120.11499786376953,123.95223236083984,159.90049743652344,247.85494995117188,175.85446166992188,509.4700012207031,494.6600036621094,201.7100067138672,80.38285064697266,49.648651123046875,52318.6015625
2021-06-29,2073.607666015625,3224.5205078125,1484.5791015625,2455.344482421875,1522.1767578125,1702.9722900390625,631.189697265625,1491.4017333984375,750.9570922851562,413.46600341796875,119.9219970703125,124.77922821044922,163.20550537109375,246.64402770996094,174.23756408691406,509.20001220703125,492.3900146484375,201.19667053222656,81.02444458007812,49.84201431274414,52484.671875
2021-06-30,2097.153564453125,3229.975830078125,1481.0694580078125,2431.761474609375,1540.3443603515625,1703.9708251953125,621.9713134765625,1482.2686767578125,747.162841796875,411.2588806152344,120.39700317382812,125.16319274902344,164.0574951171875,247.64010620117188,173.29165649414062,514.6799926757812,485.80999755859375,199.5933380126953,80.93827056884766,49.74073028564453,52880.0
2021-07-01,2084.089111328125,3225.8720703125,1469.600830078125,2438.802001953125,1520.0823974609375,1712.808349609375,621.7741088867188,1473.3824462890625,745.41552734375,412.386962890625,121.75650024414062,124.15898132324219,167.4824981689453,251.20443725585938,173.95803833007812,535.52001953125,487.2699890136719,203.3733367919922,78.81233978271484,50.67071533203125,52861.1796875
