Date,RELIANCE.NS,TCS.NS,HINDUNILVR.NS,INFY.NS,KOTAKBANK.NS,ICICIBANK.NS,LT.NS,SBIN.NS,ITC.NS,ONGC.NS,NKE,BIDU,NVDA,KO,PYPL,SNAP,MCD,WMT,BABA,PEP,Nifty
2019-11-27,1414.9503173828125,1894.814697265625,1950.432373046875,626.5626220703125,1614.79443359375,496.92724609375,1247.6942138671875,328.78717041015625,205.57034301757812,98.63152313232422,87.43795776367188,118.29000091552734,51.901248931884766,45.91307067871094,102.12000274658203,14.470000267028809,176.76022338867188,113.0785140991211,180.05950927734375,118.31111907958984,12056.0498046875
2019-11-28,1424.3692626953125,1916.0753173828125,1944.7486572265625,632.0560302734375,1611.900146484375,510.3458251953125,1261.1475830078125,334.29010009765625,205.36221313476562,99.00330352783203,87.4188003540039,118.19999694824219,52.204830169677734,46.10580062866211,103.7300033569336,14.369999885559082,175.85374450683594,112.77005767822266,180.37527465820312,118.34662628173828,12048.2001953125
2019-11-29,1398.0953369140625,1893.84619140625,1896.4361572265625,627.1029663085938,1612.099609375,503.90679931640625,1243.06982421875,327.1602478027344,205.11248779296875,97.96234130859375,89.11409759521484,117.05000305175781,50.811309814453125,46.14084243774414,104.19999694824219,13.9399995803833,175.82655334472656,111.10630798339844,183.02960205078125,118.77268981933594,11994.2001953125
2019-12-02,1429.957275390625,1864.1461181640625,1903.7969970703125,623.8159790039062,1629.8653564453125,502.23565673828125,1245.6856689453125,323.9542236328125,203.9054412841797,95.24839782714844,90.20600128173828,116.5199966430664,52.82445526123047,46.45621871948242,103.66000366210938,14.6899995803833,176.1075439453125,112.39617919921875,182.16127014160156,118.99459075927734,12043.2001953125
2019-12-03,1423.107177734375,1891.7711181640625,1890.053466796875,628.9039306640625,1643.5889892578125,500.7119445800781,1226.8604736328125,321.8009033203125,203.15625,94.91378784179688,89.66006469726562,115.69000244140625,51.75691604614258,46.50002670288086,104.94999694824219,15.15999984741211,175.34613037109375,112.0596923828125,182.7927703857422,119.4472885131836,12018.400390625
2019-12-04,1399.49267578125,1917.1358642578125,1908.2696533203125,638.35986328125,1648.0804443359375,520.2744750976562,1200.60791015625,327.1602478027344,202.40707397460938,96.69831085205078,89.12370300292969,114.80000305175781,52.550724029541016,46.6226692199707,104.08999633789062,15.3100004196167,175.97158813476562,111.34931945800781,179.93124389648438,118.71056365966797,11921.5
2019-12-05,1397.8250732421875,1956.61328125,1898.439453125,643.7632446289062,1646.13427734375,519.1439208984375,1216.5836181640625,321.7530517578125,205.57034301757812,95.84322357177734,88.27124786376953,115.6500015258789,52.3018798828125,46.394893646240234,102.55000305175781,15.079999923706055,174.35809326171875,112.0316390991211,182.407958984375,118.8614501953125,11937.5
2019-12-06,1401.4754638671875,1958.734619140625,1887.817138671875,643.9883422851562,1671.086181640625,515.8999633789062,1205.9332275390625,306.2491760253906,202.57357788085938,94.09587860107422,89.40144348144531,117.98999786376953,52.47855758666992,46.45621871948242,101.7699966430664,15.260000228881836,175.07418823242188,111.5643081665039,184.30247497558594,119.00347137451172,11856.7998046875
2019-12-09,1417.428955078125,1900.4871826171875,1871.1385498046875,645.9244995117188,1656.065185546875,517.571044921875,1192.106201171875,303.0910339355469,200.991943359375,93.91000366210938,88.98002624511719,120.31999969482422,55.046630859375,46.6226692199707,104.44999694824219,15.5,173.94110107421875,111.1530532836914,187.92379760742188,118.7904281616211,11910.150390625
2019-12-10,1407.829833984375,1856.5826416015625,1887.164794921875,643.4929809570312,1659.208984375,519.7338256835938,1194.9090576171875,299.93280029296875,196.12217712402344,93.09210205078125,89.39186096191406,118.5999984741211,53.99898910522461,47.21836471557617,106.19999694824219,15.460000038146973,175.86280822753906,111.40541076660156,192.117431640625,120.45028686523438,11971.7998046875
